,text,created_at,user,likes,retweets,links
212,"K9 Bane was an important member of the PPD family, and was a very good boy. He was loved by many, and will be deeply missed. https://t.co/WS7Xd23XXv",2022-08-05 19:53:49+00:00,PhillyPolice,108,13,https://t.co/WS7Xd23XXv
213,Wanted: Suspect for Commercial Burglary in the 6th District [VIDEO] https://t.co/2XaPuK6r6U https://t.co/CiAZWetrWD,2022-08-05 16:38:46+00:00,PhillyPolice,9,11,https://t.co/2XaPuK6r6Uhttps://t.co/CiAZWetrWD
214,Wanted: Suspect for Commercial Robbery in the 9th District [VIDEO] https://t.co/WJkNDBheLF https://t.co/r1Cx15nqrQ,2022-08-05 15:37:32+00:00,PhillyPolice,14,10,https://t.co/WJkNDBheLFhttps://t.co/r1Cx15nqrQ
215,Wanted: Suspects for Multiple Commercial Robberies in the 22nd District [VIDEO] https://t.co/fgGp5SSUcq https://t.co/sZkaS162pD,2022-08-04 11:18:26+00:00,PhillyPolice,15,15,https://t.co/fgGp5SSUcqhttps://t.co/sZkaS162pD
216,RT @PPD14Dist: Everyone had a great time during National Night Out. Thanks to State Representative Isabella Fitzgerald and all of our partn…,2022-08-03 01:36:22+00:00,PhillyPolice,0,3,
217,"RT @PPD06Dist: National Night Out-2022 
What a fun event thanks to Captain Craig, the community relations team and Lt. Mahan for helping ge…",2022-08-02 22:27:55+00:00,PhillyPolice,0,6,
218,"RT @PhilaOEM: It’s #NationalNightOut! OEM staff will be at Shop Rite 5597 Tulip St.  &amp;
300 block of Washington Ave with @PhillyPolice. We l…",2022-08-02 21:47:57+00:00,PhillyPolice,0,9,
219,"RT @PPDInspThomas: 3rd District, 1st District &amp; 17th District National Night Out Activities @ 300 Washington Avenue. @PhillyPolice @3rdPdac…",2022-08-02 21:47:18+00:00,PhillyPolice,0,4,
220,#NationalNightOut events are #HappeningNow throughout Philly! The only thing missing is YOU! There's still time to come out and meet your neighbors and local police! https://t.co/pb6M8n4kc7,2022-08-02 21:41:28+00:00,PhillyPolice,21,3,https://t.co/pb6M8n4kc7
221,RT @PPD12Dist: https://t.co/5EJOJTAiYS,2022-08-02 20:31:41+00:00,PhillyPolice,0,6,https://t.co/5EJOJTAiYS
222,RT @PPD06Dist: Come on out and get some water ice and have fun with our officers who are  at the 1100 block of Fairmount Avenue 4 PM to 6 P…,2022-08-02 20:31:10+00:00,PhillyPolice,0,4,
223,"RT @PPDInspThomas: Together, we are making communities safer, more caring places to live.
A national community-building campaign that promo…",2022-08-02 13:33:44+00:00,PhillyPolice,0,6,
224,RT @PPD35Dist: Tonight is National Night Out &amp; neighborhoods across the city will be coming together in unity. Check them out below!!  TONI…,2022-08-02 13:33:05+00:00,PhillyPolice,0,5,
225,"#NationalNightOut highlights the importance of strengthening relationships between our communities and police, so we can all work together to stop the violence and create a safer Philadelphia for everyone. Events are happening city-wide, and it all kicks off TONIGHT! https://t.co/I8I3rMI9pl",2022-08-01 15:10:55+00:00,PhillyPolice,37,23,https://t.co/I8I3rMI9pl
226,Wanted: Suspect for Robbery in the 9th District [VIDEO] https://t.co/0NxtJJQyb7 https://t.co/bxBIs7RqKz,2022-07-29 21:02:56+00:00,PhillyPolice,14,16,https://t.co/0NxtJJQyb7https://t.co/bxBIs7RqKz
227,Wanted: Suspects for Commercial Robbery in the 22nd District [VIDEO] https://t.co/PRVKn6SPsD https://t.co/Rb5RR2sQrN,2022-07-29 17:01:20+00:00,PhillyPolice,14,20,https://t.co/PRVKn6SPsDhttps://t.co/Rb5RR2sQrN
228,Wanted: Suspects for Shooting Incident in the 14th District [VIDEO] https://t.co/C7P2Of0cX0 https://t.co/9MK0PJ85i7,2022-07-29 11:04:58+00:00,PhillyPolice,7,14,https://t.co/C7P2Of0cX0https://t.co/9MK0PJ85i7
229,Wanted: Suspects for Commercial Robbery in the 35th District [VIDEO] https://t.co/TbuyagaclL https://t.co/rhuAUwo6iG,2022-07-29 10:41:28+00:00,PhillyPolice,15,21,https://t.co/TbuyagaclLhttps://t.co/rhuAUwo6iG
230,Wanted: Suspect for Commercial Burglary in the 6th District [VIDEO] https://t.co/P8ADMTfxiU https://t.co/Sq7GlEW3Jq,2022-07-28 17:30:50+00:00,PhillyPolice,8,13,https://t.co/P8ADMTfxiUhttps://t.co/Sq7GlEW3Jq
231,Wanted: Suspects for Commercial Robbery in the 22nd District [VIDEO] https://t.co/Ma6aa6gEOU https://t.co/eusIFOWbU6,2022-07-28 17:16:44+00:00,PhillyPolice,4,9,https://t.co/Ma6aa6gEOUhttps://t.co/eusIFOWbU6
232,Wanted: Suspect for Commercial Burglary in the 22nd District [VIDEO] https://t.co/dP0Qx9OMLg https://t.co/pdXEEUYqXm,2022-07-28 10:34:38+00:00,PhillyPolice,5,13,https://t.co/dP0Qx9OMLghttps://t.co/pdXEEUYqXm
233,Wanted: Suspect for Commercial Burglary in the 9th District [VIDEO] https://t.co/ZKh653sAic https://t.co/upEHBWYO0Z,2022-07-27 15:40:46+00:00,PhillyPolice,1,9,https://t.co/ZKh653sAichttps://t.co/upEHBWYO0Z
234,Wanted: Suspect for Robbery in the 6th District [VIDEO] https://t.co/U7K9yTNnc8 https://t.co/avhyuTg1L7,2022-07-27 15:09:04+00:00,PhillyPolice,4,10,https://t.co/U7K9yTNnc8https://t.co/avhyuTg1L7
235,Wanted: Suspect for Robbery in the 22nd District [VIDEO] https://t.co/GUTkeSblCJ https://t.co/B73cTbcDLS,2022-07-27 11:13:45+00:00,PhillyPolice,8,17,https://t.co/GUTkeSblCJhttps://t.co/B73cTbcDLS
236,Wanted: Suspects for Theft of Firearm from Vehicle in the 19th District [VIDEO] https://t.co/sMMKeiCWik https://t.co/PuoHcJqSt0,2022-07-26 17:44:21+00:00,PhillyPolice,16,19,https://t.co/sMMKeiCWikhttps://t.co/PuoHcJqSt0
237,Wanted: Suspect for Robbery in the 6th District [VIDEO] https://t.co/NJ8AmV8Ccv https://t.co/0DRFcZofmG,2022-07-26 16:59:45+00:00,PhillyPolice,7,13,https://t.co/NJ8AmV8Ccvhttps://t.co/0DRFcZofmG
238,Wanted: Suspect for Robbery in the 9th District [VIDEO] https://t.co/LPjdRYpheH https://t.co/EchbAfCYVy,2022-07-26 15:46:05+00:00,PhillyPolice,5,13,https://t.co/LPjdRYpheHhttps://t.co/EchbAfCYVy
239,Wanted: Suspect for Robbery in the 6th District [VIDEO] https://t.co/Kyj6bDxa5b https://t.co/SPEUgq24Qa,2022-07-26 11:33:33+00:00,PhillyPolice,8,18,https://t.co/Kyj6bDxa5bhttps://t.co/SPEUgq24Qa
240,Wanted: Suspect for Homicide in the 24th District [VIDEO] https://t.co/yp4RtDBtd3 https://t.co/i6gC2zZcuy,2022-07-26 11:03:54+00:00,PhillyPolice,34,34,https://t.co/yp4RtDBtd3https://t.co/i6gC2zZcuy
241,"RT @PhiladelphiaGov: A Heat Health Emergency is still in effect. 

Please check on neighbors and loved ones, especially the elderly. 

Lear…",2022-07-25 16:42:14+00:00,PhillyPolice,0,12,
242,Wanted: Suspect for Homicide in the 22nd District [VIDEO] https://t.co/tISxDWSnBd https://t.co/o1m9dWFKbn,2022-07-25 10:46:35+00:00,PhillyPolice,28,25,https://t.co/tISxDWSnBdhttps://t.co/o1m9dWFKbn
243,Wanted: Suspect for Fatal Leaving the Scene in the 19th District [VIDEO] https://t.co/tIaU09MqRN https://t.co/IbShGtBJQN,2022-07-22 18:46:13+00:00,PhillyPolice,11,12,https://t.co/tIaU09MqRNhttps://t.co/IbShGtBJQN
244,Wanted: Suspects for Multiple Residential Burglaries in the 15th District [VIDEO] https://t.co/ATW7UaIbhr https://t.co/EbpB1AN4jo,2022-07-22 11:14:10+00:00,PhillyPolice,22,26,https://t.co/ATW7UaIbhrhttps://t.co/EbpB1AN4jo
245,Wanted: Suspects for Commercial Robbery in the 24th District [VIDEO] https://t.co/iErrARF8WN https://t.co/SQihhXKfNo,2022-07-22 10:50:32+00:00,PhillyPolice,14,15,https://t.co/iErrARF8WNhttps://t.co/SQihhXKfNo
